"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
10,"ἀδύνατος",102,"no","wezekana, / haiwezekani"
7,"ἀεί",104,"no","muda wote"
5,"ἀετός",105,"no","tai, mwew, manyoya, ruka, furukombe"
9,"ἄζυμος",106,"no","mkate usio na chachu"
2,"Ἀζώρ",107,"no","azori"
1,"Ἄζωτος",108,"no","azota"
7,"ἀήρ",109,"no","hewani, "
3,"ἀθανασία",110,"no","tokuf"
2,"ἀθέμιτος",111,"no","pinduki, tembele"
1,"ἄθεος",112,"no","mungu, miungu, bwana, wake, wao"
2,"ἄθεσμος",113,"no","maas, uasi, kuas, waas, wahalifu"
16,"ἀθετέω",114,"no","katalia , kumkatalia"
2,"ἀθέτησις",115,"no","tang, batili"
4,"Ἀθῆναι",116,"no","athene"
2,"Ἀθηναῖος",117,"no","athene, waathene, eleze"
2,"ἀθλέω",118,"no","hapewi, riadh"
1,"ἄθλησις",119,"no","shinda, jitahidini, piga, ishi, twajitaabisha"
1,"ἀθροίζω",4867,"yes","kanis, kusanyik, mkutano, kusanyi, kusany"
1,"ἀθυμέω",120,"no","fadhai, zimi, chok, hofu, haraka"
2,"ἀθῷος",121,"no","hati, asiy, isiy, lawama, zisizo"
1,"αἴγειος",122,"no","mbuz, beber, mwit"
6,"αἰγιαλός",123,"no","fukwe"
5,"Αἰγύπτιος",124,"no","misri, wamisri, mmisri, tulikaa, yewato"
25,"Αἴγυπτος",125,"no","misri"
2,"ἀΐδιος",126,"no","milele, ish, aman, sasa, yapata"
1,"αἰδώς",127,"no","si, nywele, poke, adab, basi"
2,"Αἰθίοψ",128,"no","kandake"
97,"αἷμα",129,"no","damu, "
1,"αἱματεκχυσία",130,"no","damu, dhuluma, mwuaji, vunja"
1,"αἱμορροέω",131,"no","upindo"
2,"Αἰνέας",132,"no","ainea"
1,"αἴνεσις",133,"no","sifa, baraka, tuku, shukrani, ahimidiwe"
8,"αἰνέω",134,"no","sifu"
1,"αἴνιγμα",135,"no","fumb, enda, msisiti, cheo, atutegulie"
2,"αἶνος",136,"no","sifa, baraka, tuku, shukrani, ahimidiwe"
1,"Αἰνών",137,"no","ainoni"
9,"αἵρεσις",139,"no","dhehebu madhehebu"
1,"αἱρετίζω",140,"no","chagu, wateule, chaguli, mteule, acha"
1,"αἱρετικός",141,"no","mzushi"
3,"αἱρέω",138,"no","chagu, wateule, chaguli, mteule, acha"
101,"αἴρω",142,"no","pokea,chukua,inua"
1,"αἰσθάνομαι",143,"no","tambu, fahami"
1,"αἴσθησις",144,"no","ufahamu"
1,"αἰσθητήριον",145,"no","kigumu"
2,"αἰσχροκερδής",146,"no","tama, aibu, fedha, choy, patikan"
1,"αἰσχροκερδῶς",147,"no","tama, aibu, fedha, choy, patikan"
1,"αἰσχρολογία",148,"no","masuto, ubishi"
4,"αἰσχρός",150,"no","aibu, haya, fedheha, aibish, hayar"
1,"αἰσχρότης",151,"no","masuto, ubishi"
6,"αἰσχύνη",152,"no","aibu,  fedheha, "
5,"αἰσχύνω",153,"no","haya, aibi, tahayari, aibish, hayar"
70,"αἰτέω",154,"no","omba, anayekuomba"
3,"αἴτημα",155,"no","haja, timizi, matakwa, zijulikane"
20,"αἰτία",156,"no","sababu yoyote"
5,"αἴτιος",159,"no","sababu, shitak, sion, yoyote, haifai"
1,"αἰτίωμα",157,"no","ulinzi, hudum, agiz, tunz, wao"
2,"αἰφνίδιος",160,"no","ghafla, mara, liji, yadhihiri, sil"
3,"αἰχμαλωσία",161,"no","mateka, twa, uhamisho, hamish, wafungwa"
1,"αἰχμαλωτεύω",162,"no","mateka, twa, uhamisho, hamish, wafungwa"
4,"αἰχμαλωτίζω",163,"no","mateka, twa, uhamisho, hamish, wafungwa"
1,"αἰχμάλωτος",164,"no","mateka, twa, uhamisho, hamish, wafungwa"
124,"αἰών",165,"no","milele, enzi"
71,"αἰώνιος",166,"no","wa milele"
10,"ἀκαθαρσία",167,"no","uchafu wa kila aina"
31,"ἀκάθαρτος",169,"no","pepo mapepo"
1,"ἀκαιρέομαι",170,"no","punguki, pungu, hitaj, asiy, kos"
1,"ἀκαίρως",171,"no","ukufaao"
2,"ἄκακος",172,"no","hati, asiy, isiy, lawama, zisizo"
14,"ἄκανθα",173,"no","mwiba, miiba"
2,"ἀκάνθινος",174,"no","miib, mbigili, chak, mibigili, mwib"
7,"ἄκαρπος",175,"no","asiyezaa matunda"
1,"ἀκατάγνωστος",176,"no","yafaayo"
2,"ἀκατακάλυπτος",177,"no","funuli, funu, mateka, chukuli, chuku"
2,"ἀκατάκριτος",178,"no","wametupiga"
1,"ἀκατάλυτος",179,"no","kikomo"
1,"ἀκατάπαυστος",180,"no","yajaayo"
5,"ἀκαταστασία",181,"no","palipo, hauj, ilivyo"
2,"ἀκατάστατος",182,"no","fug, sit"
1,"Ἁκελδαμάχ",184,"no","akeldama"
3,"ἀκέραιος",185,"no","hati, asiy, isiy, lawama, zisizo"
1,"ἀκλινής",186,"no","letu"
1,"ἀκμάζω",187,"no","zimeiva"
1,"ἀκμήν",188,"no","tena, bado, alipokuwa, sasa, mwingine"
24,"ἀκοή",189,"no","habari"
90,"ἀκολουθέω",190,"no","fuata, wakamfuata"
428,"ἀκούω",191,"no","aliposikia, sikia, pata habari"
2,"ἀκρασία",192,"no","toku, anas, halafu"
1,"ἀκρατής",193,"no","suluhu"
1,"ἄκρατος",194,"no","tengenezw"
1,"ἀκρίβεια",195,"no","jitihada"
1,"ἀκριβής",196,"no","sahihi"
2,"ἀκριβόω",198,"no","faraghani, usahihi, chunguz, yaja, ajavyo"
9,"ἀκριβῶς",199,"no","kwa bidii  / mtafuteni kwa bidii"
4,"ἀκρίς",200,"no","nzig, tunutu, panz, parare, madumadu"
1,"ἀκροατήριον",201,"no","bernike"
4,"ἀκροατής",202,"no","siki, sikiliz, kien, lize, habari"
20,"ἀκροβυστία",203,"no","wasiotahiriwa"
2,"ἀκρογωνιαῖος",204,"no","pembeni, pemb, geuka, minara, karibieni"
1,"ἀκροθίνιον",205,"no","nyar, mateka, yang, nyang'any, pat"
6,"ἄκρον",206,"no","mwisho"
6,"Ἀκύλας",207,"no","Akila"
3,"ἀκυρόω",208,"no","litangu, pokeza"
1,"ἀκωλύτως",209,"no","huru, uhur, paw, bure, muungwana"
1,"ἄκων",210,"no","itend"
4,"ἀλάβαστρος",211,"no","vyombo, ila, chombo, kitu, mtungi"
2,"ἀλαζονεία",212,"no","sif, fun, haleluya, jisif, sifi"
2,"ἀλαζών",213,"no","wenye"
2,"ἀλαλάζω",214,"no","yowe, ombole, pigeni, ombolezeni, omboleze"
1,"ἀλάλητος",215,"no","nene, haistahili"
3,"ἄλαλος",216,"no","bubu, uwatetee"
8,"ἅλας",217,"no","chumvi, "
9,"ἀλείφω",218,"no","paka mafuta"
1,"ἀλεκτοροφωνία",219,"no","awikapo"
11,"ἀλέκτωρ",220,"no","jogo, "
2,"Ἀλεξανδρεύς",221,"no","aleksandria"
2,"Ἀλεξανδρῖνος",222,"no","aleksandria"
6,"Ἀλέξανδρος",223,"no","Aliksanda"
2,"ἄλευρον",224,"no","unga, pipa, hayatoi, wapakulie, mbuki"
109,"ἀλήθεια",225,"no","ukweli"
2,"ἀληθεύω",226,"no","yaliyo, tumfikie"
26,"ἀληθής",227,"no","mkweli"
28,"ἀληθινός",228,"no","mwaminifu"
2,"ἀλήθω",229,"no","sag, one, sagi, wakanisagia, atasaga"
18,"ἀληθῶς",230,"no","hakika"
5,"ἁλιεύς",231,"no","samaki, wavuvi, visamaki, towe"
1,"ἁλιεύω",232,"no","samaki, wavuvi, visamaki, towe"
2,"ἁλίζω",233,"no","chumvi, kole"
1,"ἀλίσγημα",234,"no","najisi, jis, jiti, najis, linajis"
638,"ἀλλά",235,"no","bali, lakini, "
6,"ἀλλάσσω",236,"no","badili, "
1,"ἀλλαχόθεν",237,"no","penginepo, pengine"
1,"ἀλλαχοῦ",237,"yes","penginepo, pengine"
1,"ἀλληγορέω",238,"no","mithali, hoja, kifani, mifano, huneni"
4,"ἁλληλουϊά",239,"no","haleluya"
100,"ἀλλήλων",240,"no","wao kwa wao  , -na, watasalitiana, watachukiana"
1,"ἀλλογενής",241,"no","mgen, wageni, kigeni, migeni, ugen"
3,"ἅλλομαι",242,"no","chemchemi, chipu, sim, siman, toke"
154,"ἄλλος",243,"no","mwingine, tofauti"
1,"ἀλλοτριεπίσκοπος",244,"no","mfitini"
14,"ἀλλότριος",245,"no","wengine, wageni, wasiowajua"
1,"ἀλλόφυλος",246,"no","mgen, wageni, kigeni, migeni, ugen"
1,"ἄλλως",247,"no","yasiyo, matendo, hivyo, awe, tiri"
3,"ἀλοάω",248,"no","puri, wanj, sakafu, nafaka, uga"
3,"ἄλογος",249,"no","lisilo, tezw"
1,"ἀλόη",250,"no","uudi"
1,"ἁλυκός",252,"no","chumvi, kole"
1,"ἄλυπος",253,"no","pungu"
11,"ἅλυσις",254,"no","mnyororo"
1,"ἀλυσιτελής",255,"no","baradhul, kitu, matunda, upuz, tupu"
3,"ἄλφα",1,"no","alfa"
5,"Ἁλφαῖος",256,"no","alfayo"
2,"ἅλων",257,"no","puri, wanj, sakafu, nafaka, uga"
3,"ἀλώπηξ",258,"no","mbweha, wafe"
1,"ἅλωσις",259,"no","mateka, twa, uhamisho, hamish, wafungwa"
10,"ἅμα",260,"no","pamoja nazo"
1,"ἀμαθής",261,"no","ujinga, faham, msijue, julikan, mkos"
1,"ἀμαράντινος",262,"no","usio"
1,"ἀμάραντος",263,"no","usio"
43,"ἁμαρτάνω",264,"no","dhambi, "
4,"ἁμάρτημα",265,"no","dhambi, hati, kos, kose, makosa"
173,"ἁμαρτία",266,"no","dhambi, "
1,"ἀμάρτυρος",267,"no","shuhudi, shahid, ushuhuda, shuhuda, ushahidi"
47,"ἁμαρτωλός",268,"no","wenye dhambi, wakosaji"
2,"ἄμαχος",269,"no","wagomvi, mbishi"
1,"ἀμάω",270,"no","vili"
1,"ἀμέθυστος",271,"no","thist"
4,"ἀμελέω",272,"no","nywele, lege, kataa, usinidanganye, puuz"
5,"ἄμεμπτος",273,"no","lawama, mawa, halina, mwonekane, waa"
2,"ἀμέμπτως",274,"no","lawama, mawa, halina, mwonekane, waa"
2,"ἀμέριμνος",275,"no","shid, asiyeoa"
2,"ἀμετάθετος",276,"no","warithio, alitia"
1,"ἀμετακίνητος",277,"no","mwimarike"
2,"ἀμεταμέλητος",278,"no","majuto"
1,"ἀμετανόητος",279,"no","usio"
2,"ἄμετρος",280,"no","chopimi, ikuapo, hatujisifu"
126,"ἀμήν",281,"no","Basi,kweli, hivyo, sasa"
1,"ἀμήτωρ",282,"no","adum"
4,"ἀμίαντος",283,"no","safi, taka, usaf, chaguli, kat"
3,"Ἀμιναδάβ",284,"no","aminadabu, ishari"
5,"ἄμμος",285,"no","wa, kama, cha, ufuoni, fuki"
4,"ἀμνός",286,"no","-kondo, kondoo, jik"
1,"ἀμοιβή",287,"no","lip, malipo, lipw, wawatesao"
9,"ἄμπελος",288,"no","mzabibu, mizabibu"
1,"ἀμπελουργός",289,"no","mizabibu, shamb, zao"
23,"ἀμπελών",290,"no","shamba la mizabibu"
1,"Ἀμπλιᾶτος",291,"no","ampliato"
1,"ἀμύνομαι",292,"no","tete, lind, jitete, fikir, utetezi"
1,"ἀμφιβάλλω",906,"yes","tup, tupw, angush, tupi, bomo"
1,"ἀμφίβληστρον",293,"no","wavu, nyav, jarife, tegw, wind"
1,"ἀμφιέζω",294,"yes","vik, vikw, jivi, kuva, amevaa"
3,"ἀμφιέννυμι",294,"no","vik, vikw, jivi, kuva, amevaa"
1,"Ἀμφίπολις",295,"no","amfipoli"
1,"ἄμφοδον",296,"no","kuu, njia, uwanja, mita, uwanjani"
14,"ἀμφότεροι",297,"no","zote mbili,wote wawili"
1,"ἀμώμητος",298,"no","lawama, mawa, halina, mwonekane, waa"
1,"ἄμωμον",299,"yes","lawama, mawa, halina, mwonekane, waa"
8,"ἄμωμος",299,"no","tusionekane wenye lawama, tusiwe nalawama"
3,"Ἀμώς",301,"no","amosi, amoni"
164,"ἄν",302,"no","-ngali-"
13,"ἀνά",303,"no","katikati ya"
2,"ἀναβαθμός",304,"no","hatu, daraj, mlima, ngaz, nyay"
81,"ἀναβαίνω",305,"no"," kutoka, "
1,"ἀναβάλλω",306,"no","ahiri"
1,"ἀναβιβάζω",307,"no","vutw, ng'ole, nyakuli, mwopo, atakunyakua"
25,"ἀναβλέπω",308,"no","tazama, ona"
1,"ἀνάβλεψις",309,"no","yu, wafungwa, anga, yangu, roho"
1,"ἀναβοάω",310,"no","lili, kili, kelel, paz, mlili"
1,"ἀναβολή",311,"no","kawi, ngoj, lege, kawiakawi, litu"
2,"ἀνάγαιον",508,"no","chumba, ghorofani, ghorofa, vyumba, itoshele"
13,"ἀναγγέλλω",312,"no","elezea"
2,"ἀναγεννάω",313,"no","mza, zaliw, kaza, zali, kuza"
32,"ἀναγινώσκω",314,"no","soma"
9,"ἀναγκάζω",315,"no","lazimisha/ akawalazimisha"
8,"ἀναγκαῖος",316,"no","wa muhimu"
1,"ἀναγκαστῶς",317,"no","lazima, wapa, sharti, mpas, lazim"
17,"ἀνάγκη",318,"no","lazima, "
3,"ἀνάγνωσις",320,"no","somwa, bidi"
23,"ἀνάγω",321,"no","ongozwa,pelekwa"
2,"ἀναδείκνυμι",322,"no","wek, amriw, wekw, kutan, kuta"
1,"ἀνάδειξις",323,"no","hadharani"
2,"ἀναδέχομαι",324,"no","poke, karibish, kubal, twaa, waka"
1,"ἀναδίδωμι",325,"no","oko, sali, pony, uniponye, uniokoe"
2,"ἀναζάω",326,"no","huik"
3,"ἀναζητέω",327,"no","chungu, tafut, chimb, pelele, badilish"
1,"ἀναζώννυμι",328,"no","mshipi, fung, tamba, fungw, fungi"
1,"ἀναζωπυρέω",329,"no","uichochee"
1,"ἀναθάλλω",330,"no","upya, tengenez, wapy, mpya, thibit"
6,"ἀνάθεμα",331,"no","laniwa"
4,"ἀναθεματίζω",332,"no","kiap, laan, apiz, viap, apish"
2,"ἀναθεωρέω",333,"no","iigeni"
1,"ἀνάθημα",334,"no","dhir, nitaziondoa, zitimili, koti"
1,"ἀναίδεια",335,"no","hatoki"
1,"ἀναίρεσις",336,"no","mwuaji, usiue, wauaji, mwu, uuaj"
24,"ἀναιρέω",337,"no","ua.akawaua"
2,"ἀναίτιος",338,"no","hati, asiy, isiy, lawama, zisizo"
2,"ἀνακαθίζω",339,"no","ket, aketiye, pand, kuketi, oka"
1,"ἀνακαινίζω",340,"no","upya, ukaw, rudi, mzim, yuaj"
2,"ἀνακαινόω",341,"no","upya, tengenez, wapy, mpya, thibit"
2,"ἀνακαίνωσις",342,"no","upya, tengenez, wapy, mpya, thibit"
2,"ἀνακαλύπτω",343,"no","uo"
4,"ἀνακάμπτω",344,"no","rud, rudi, rudish, reje, tena"
14,"ἀνάκειμαι",345,"no","mezani"
2,"ἀνακεφαλαιόω",346,"no","vijumli, jumlish"
6,"ἀνακλίνω",347,"no","kukaa mezani"
5,"ἀνακράζω",349,"no","akalia, utufungulie, mwondoe"
16,"ἀνακρίνω",350,"no","hoji"
1,"ἀνάκρισις",351,"no","uliza, hoj, hukumu, hoji, mbuliw"
1,"ἀνακυλίω",617,"yes","bingiri, vingiri, vingirisheni, isha, vingirish"
4,"ἀνακύπτω",352,"no","aliaye, nyok, awe, unyofu, ele"
13,"ἀναλαμβάνω",353,"no","chukuliwa, inuliwa"
1,"ἀνάλημψις",354,"no","pand, kwe, pandi, kutoka, let"
2,"ἀναλίσκω",355,"no","mwisho, timi, ulao, dahari, hawautumii"
1,"ἀναλογία",356,"no","waipime, tuto, umejaa"
1,"ἀναλογίζομαι",357,"no","stahil, fikirini, mwastahili, hapo, upinzani"
1,"ἄναλος",358,"no","mkakae"
1,"ἀνάλυσις",359,"no","maut, wafu, kufa, kuf, kifo"
2,"ἀναλύω",360,"no","ach, kan, achw, ondok, acha"
1,"ἀναμάρτητος",361,"no","hoj"
1,"ἀναμένω",362,"no","ngoj, taza, tumain, ngoje, ngojea"
6,"ἀναμιμνῄσκω",363,"no","kumbushwa/alipokumbushwa"
4,"ἀνάμνησις",364,"no","kumbuk, mbuk, buke, taj, kumbush"
1,"ἀνανεόω",365,"no","upya, tengenez, wapy, mpya, thibit"
1,"ἀνανήφω",366,"no","nas"
11,"Ἁνανίας",367,"no","Anania"
1,"ἀναντίρρητος",368,"no","nush"
1,"ἀναντιρρήτως",369,"no","basi, niit, neno, itw, kwa"
1,"ἀνάξιος",370,"no","hamstahili"
1,"ἀναξίως",371,"no","aulaye"
5,"ἀνάπαυσις",372,"no","wek, raha, stareh, pumzik, ach"
12,"ἀναπαύω",373,"no","pumzisha/nitawapumzisha"
1,"ἀναπείθω",374,"no","tumain, shawish, amin, sadik, kubal"
5,"ἀναπέμπω",375,"no","tum, pelek, nitu, ruhusa, nyosh"
1,"ἀναπηδάω",1530,"yes","ruki"
2,"ἀνάπηρος",376,"no","lem, bub, ponde"
12,"ἀναπίπτω",377,"no","kaa, wakae"
6,"ἀναπληρόω",378,"no","timiwa/ukatimizwa"
2,"ἀναπολόγητος",379,"no","hur, uway"
2,"ἀνάπτω",381,"no","gus, wash, tekete, wak, waka"
1,"ἀναρίθμητος",382,"no","zaliw, hesabi, nyot, alikuwa, mbinguni"
2,"ἀνασείω",383,"no","choche, amsha, dangany, shawish, aomb"
1,"ἀνασκευάζω",384,"no","sumbu"
2,"ἀνασπάω",385,"no","vutw, ng'ole, nyakuli, mwopo, atakunyakua"
42,"ἀνάστασις",386,"no","ufufuo"
3,"ἀναστατόω",387,"no","fadhai, taab, kazi, dhar, sumbu"
1,"ἀνασταυρόω",388,"no","hadharani"
1,"ἀναστενάζω",389,"no","kuugua, kite, ugu, lap, emimini"
9,"ἀναστρέφω",390,"no","rudi, wakarudi"
13,"ἀναστροφή",391,"no","mwenendo"
1,"ἀνατάσσομαι",392,"no","ratib"
9,"ἀνατέλλω",393,"no","pambazuka"
2,"ἀνατίθημι",394,"no","wekwa, elez, wek, sima, anda"
11,"ἀνατολή",395,"no","mashariki, "
3,"ἀνατρέπω",396,"no","geuz, geuk, pindu, ipindu, badili"
3,"ἀνατρέφω",397,"no","tunz, kitu, mambo, lele, hujali"
2,"ἀναφαίνω",398,"no","onekan, uso, maon, mfano, sura"
10,"ἀναφέρω",399,"no","chukua / akawachukua"
1,"ἀναφωνέω",400,"no","mzao"
1,"ἀνάχυσις",401,"no","watuka, mafuriko"
14,"ἀναχωρέω",402,"no","ondoka"
1,"ἀνάψυξις",403,"no","zifutwe"
1,"ἀναψύχω",404,"no","mnyororo"
1,"ἀνδραποδιστής",405,"no","mtumwa, watumwa, tumiki, watumishi, utumwa"
13,"Ἀνδρέας",406,"no","Andrea"
1,"ἀνδρίζομαι",407,"no","ujasiri, faraja, thubut, moyo, waziwazi"
1,"Ἀνδρόνικος",408,"no","androniko"
1,"ἀνδροφόνος",409,"no","mwuaji, usiue, wauaji, mwu, uuaj"
5,"ἀνέγκλητος",410,"no","hati, asiy, isiy, lawama, zisizo"
1,"ἀνεκδιήγητος",411,"no","ipasavyo"
1,"ἀνεκλάλητος",412,"no","nene, haistahili"
1,"ἀνέκλειπτος",413,"no","viuzeni"
5,"ἀνεκτός",414,"no","huzuni, ili, chukulia, vumili, stahimil"
1,"ἀνελεήμων",415,"no","mkal, til, kali, washika, waniudhi, rehema, huruma, rehem, huru, unirehemu"
1,"ἀνέλεος",448,"no","rehema, huruma, rehem, huru, unirehemu"
1,"ἀνεμίζω",416,"no","upep, pepo, vum, yapita, ivumapo"
31,"ἄνεμος",417,"no","upepo, pepo"
1,"ἀνένδεκτος",418,"no","vikwazo, vinakuja"
1,"ἀνεξεραύνητος",419,"no","lind, sana, lindin, fumb, kina"
1,"ἀνεξίκακος",420,"no","huzuni, ili, chukulia, vumili, stahimil"
2,"ἀνεξιχνίαστος",421,"no","lind, sana, lindin, fumb, kina"
1,"ἀνεπαίσχυντος",422,"no","jitahidi"
3,"ἀνεπίλημπτος",423,"no","hati, asiy, isiy, lawama, zisizo"
3,"ἀνέρχομαι",424,"no","end, akaenda, shuk, nend, tok"
5,"ἄνεσις",425,"no","wek, raha, stareh, pumzik, ach"
2,"ἀνετάζω",426,"no","uliz, swal, uliza, hoja, onaj"
3,"ἄνευ",427,"no","pasipo, bila, kwa, hamn, kos"
1,"ἀνεύθετος",428,"no","haifai"
2,"ἀνευρίσκω",429,"no","onekan, pat, kut, won, mwon"
15,"ἀνέχω",430,"no","vumilia / niwavumilie"
1,"ἀνεψιός",431,"no","binamu"
1,"ἄνηθον",432,"no","jira"
3,"ἀνήκω",433,"no","haifai, adab, tupa, ambata, pendeza"
1,"ἀνήμερος",434,"no","suluhu"
216,"ἀνήρ",435,"no","mwanamume, mume (husband)"
14,"ἀνθίστημι",436,"no","shindana na, gombana na, usishindane na"
1,"ἀνθομολογέομαι",437,"no","shukur, barik, mshukuruni, sif, bariki"
4,"ἄνθος",438,"no","ua, maua, bamb"
2,"ἀνθρακιά",439,"no","pali, wakiota"
1,"ἄνθραξ",440,"no","pali, wakiota"
2,"ἀνθρωπάρεσκος",441,"no","utumwa"
7,"ἀνθρώπινος",442,"no","binadamu"
3,"ἀνθρωποκτόνος",443,"no","mwuaji, usiue, wauaji, mwu, uuaj"
548,"ἄνθρωπος",444,"no","mtu, binadamu"
5,"ἀνθύπατος",446,"no","wal, yastaajabi"
4,"ἀνίημι",447,"no","fungu, funguliw, lege, fumuli, mfungueni"
2,"ἄνιπτος",449,"no","nawi, yamtiayo"
108,"ἀνίστημι",450,"no","amka, simama, akaamka,akasimama"
1,"Ἅννα",451,"no","fanueli"
4,"Ἅννας",452,"no","anasi"
